model,accuracy,precision,recall,f1,auc
MRI3DCNN,0.7272727272727273,0.7105263157894737,0.7941176470588235,0.75,0.7977941176470589
MRICNN-LSTM,0.7727272727272727,0.7878787878787878,0.7647058823529411,0.7761194029850746,0.8979779411764706
